Price in USD,ISEVEN,ISODD
1.25,FALSE,TRUE
1.26,FALSE,TRUE
1.27,FALSE,TRUE
1.28,FALSE,TRUE
1.29,FALSE,TRUE
1.3,FALSE,TRUE
1.31,FALSE,TRUE
1.32,FALSE,TRUE
1.33,FALSE,TRUE
1.34,FALSE,TRUE
1.35,FALSE,TRUE
1.36,FALSE,TRUE
1.37,FALSE,TRUE
1.38,FALSE,TRUE
1.39,FALSE,TRUE
2.56,TRUE,FALSE
2.56,TRUE,FALSE
2.56,TRUE,FALSE
2.56,TRUE,FALSE
2.56,TRUE,FALSE
2.57,TRUE,FALSE
2.57,TRUE,FALSE
2.57,TRUE,FALSE
2.57,TRUE,FALSE
2.57,TRUE,FALSE
2.58,TRUE,FALSE
2.58,TRUE,FALSE
2.58,TRUE,FALSE
2.6,TRUE,FALSE
2.63,TRUE,FALSE
2.65,TRUE,FALSE
2.68,TRUE,FALSE
2.7,TRUE,FALSE
2.73,TRUE,FALSE
2.75,TRUE,FALSE
2.78,TRUE,FALSE
2.8,TRUE,FALSE
2.82,TRUE,FALSE
2.85,TRUE,FALSE
2.87,TRUE,FALSE
2.88,TRUE,FALSE
2.89,TRUE,FALSE
2.9,TRUE,FALSE
2.9,TRUE,FALSE
2.91,TRUE,FALSE
2.92,TRUE,FALSE
2.93,TRUE,FALSE
2.93,TRUE,FALSE
2.94,TRUE,FALSE
2.95,TRUE,FALSE
2.96,TRUE,FALSE
2.96,TRUE,FALSE
2.98,TRUE,FALSE
3,FALSE,TRUE
3.02,FALSE,TRUE
3.04,FALSE,TRUE
3.06,FALSE,TRUE
3.08,FALSE,TRUE
3.1,FALSE,TRUE
3.12,FALSE,TRUE
3.14,FALSE,TRUE
3.16,FALSE,TRUE
3.18,FALSE,TRUE
3.2,FALSE,TRUE
3.22,FALSE,TRUE
3.25,FALSE,TRUE
3.28,FALSE,TRUE
3.3,FALSE,TRUE
3.33,FALSE,TRUE
3.36,FALSE,TRUE
3.38,FALSE,TRUE
3.41,FALSE,TRUE
3.44,FALSE,TRUE
3.46,FALSE,TRUE
3.49,FALSE,TRUE
1.09,FALSE,TRUE
1.09,FALSE,TRUE
1.09,FALSE,TRUE
1.09,FALSE,TRUE
1.1,FALSE,TRUE
1.1,FALSE,TRUE
1.1,FALSE,TRUE
1.1,FALSE,TRUE
1.1,FALSE,TRUE
1.11,FALSE,TRUE
1.11,FALSE,TRUE
1.11,FALSE,TRUE
1.11,FALSE,TRUE
1.11,FALSE,TRUE
1.12,FALSE,TRUE
1.12,FALSE,TRUE
1.12,FALSE,TRUE
1.12,FALSE,TRUE
1.12,FALSE,TRUE
1.13,FALSE,TRUE
1.13,FALSE,TRUE
1.13,FALSE,TRUE
1.13,FALSE,TRUE
1.13,FALSE,TRUE
1.14,FALSE,TRUE
1.14,FALSE,TRUE
1.14,FALSE,TRUE
1.14,FALSE,TRUE
1.15,FALSE,TRUE
1.15,FALSE,TRUE
1.15,FALSE,TRUE
1.16,FALSE,TRUE
1.16,FALSE,TRUE
1.16,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.17,FALSE,TRUE
1.18,FALSE,TRUE
1.19,FALSE,TRUE
1.19,FALSE,TRUE
1.2,FALSE,TRUE
1.21,FALSE,TRUE
1.22,FALSE,TRUE
1.23,FALSE,TRUE
1.23,FALSE,TRUE
1.24,FALSE,TRUE
1.25,FALSE,TRUE
1.26,FALSE,TRUE
1.27,FALSE,TRUE
1.28,FALSE,TRUE
1.29,FALSE,TRUE
1.3,FALSE,TRUE
1.31,FALSE,TRUE
1.32,FALSE,TRUE
1.34,FALSE,TRUE
1.35,FALSE,TRUE
1.36,FALSE,TRUE
1.37,FALSE,TRUE
1.38,FALSE,TRUE
1.39,FALSE,TRUE
1.34,FALSE,TRUE
1.35,FALSE,TRUE
1.35,FALSE,TRUE
1.35,FALSE,TRUE
1.36,FALSE,TRUE
1.36,FALSE,TRUE
1.36,FALSE,TRUE
1.37,FALSE,TRUE
1.37,FALSE,TRUE
1.37,FALSE,TRUE
1.38,FALSE,TRUE
1.38,FALSE,TRUE
1.38,FALSE,TRUE
1.39,FALSE,TRUE
1.39,FALSE,TRUE
1.39,FALSE,TRUE
1.39,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.41,FALSE,TRUE
1.41,FALSE,TRUE
1.41,FALSE,TRUE
1.41,FALSE,TRUE
1.41,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.4,FALSE,TRUE
1.39,FALSE,TRUE
1.39,FALSE,TRUE
1.39,FALSE,TRUE
1.38,FALSE,TRUE
1.38,FALSE,TRUE
1.38,FALSE,TRUE
1.38,FALSE,TRUE
1.39,FALSE,TRUE
1.39,FALSE,TRUE
